Protein	U148_set8_201216_20	U124_200805_03	UpoolS12_200827_02	U22_200807_07	U406_set6_201125_3	U367_set6_201125_13	U480_200807_01	U34_200805_08	U359_200827_04	U77_set8_201216_21	U441_set6_201125_17	U124_200827_06	U37_200807_03	U386_set6_201125_8	Upool_201125_201128211109_11	U125_200805_09	U496_200805_06	Upool_200827_swtch_10	UpoolS1_200827_08	U64_200805_07	U58_set8_201216_22	Upool_201216_201221032402_25	Upool_201216_201221064807_26	U415_200912_11	Upool_200925_12	U100_200805_04	U297_200827_03	Upool_201125_201201055914_25	U461_set8_201216_23	U126_set8_201216_24	Upool_201130_201202035550_1	U170_set4_200930_7	U253_set4_200930_201001024335_6	U221_set4_200930_3	U379_set6_201125_24	U432_set3_200925_5	U169_set4_200930_8	Upool_200925_11	U412_set3_200926_16	Upool_200921_200922042327	U424_200912_15	U253_set4_200930_4	U458_set3_200926_15	U411_set3_200925_9	U415_set3_200926_13	U448_set7_201130_2	U221_set4_200930_200930231546_5	Upool_200910_37	U437_200912_8	U468_set7_201130_3	U473_set7_201130_4	U451_set7_201130_5	U456_set4_200930_15	Upool_200930_201004231713_28	Upool_200930_201003213301_22	U314_set5_201121_15	U321_set5_201121_12	U472_set7_201130_6	U215_set4_200930_25	U318_set5_201121_8	U208_set4_200930_26	U279_set5_201121_22	U512_set4_200930_18	U470_set7_201130_7	Upool_200930_13	U264_set4_200930_23	U286_set5_201121_17	U457_set7_201130_8	U324_set5_201121_4	Upool_201121_1	U270_set5_201121_6	U505_set7_201130_9	Upool_201130_10	U471_200805_05	U455_set7_201130_11	U476_set7_201130_12	U413_200912_1	U427_200912_9	Upool_200921_1	Upool_200926_22	Upool_201121_201121180315_2	U331_set5_201121_3	U181_set4_200930_9	U302_set5_201121_7	U260_set4_200930_12	U463_set7_201130_13	U518_set7_201130_14	U506_set7_201130_15	U1_set4_200930_19	U313_set5_201121_23	U185_set4_200930_14	Upool_201121_201123053643_11	U262_set4_200930_17	U535_set4_200930_24	U281_set5_201121_18	U269_set5_201121_5	U444_set7_201130_16	U525_set7_201130_17	U485_set7_201130_18	U394_200827_23	U362_200827_26	U363_200827_24	Upool_200827e_27	U393_200827_13	U399_200827_12	U343_200827_16	U402_200827_11	Upool_200827_S1234_15	U395_200827_28	Upool_201130_201205041116_19	U404_200827_17	Upool_201121_201126002127_20	U275_200827_29	U346_set6_201125_18	UpoolS1_200805_01	U365_200827_19	U304_200827_22	U484_set7_201130_20	U290_200827_30	U377_set6_201125_23	U326_200827_20	U355_200827_18	U459_set7_201130_21	U478_set7_201130_22	U502_set7_201130_23	Upool_201130_201206012949_24	U290_set2_200925_3	U11_set1_200921_3	Upool_200910_31	Upool_200910_32	U412_200912_13	U436_200912_20	U432_200912_19	Upool_200925_1	Upool_201130_201206045851_25	Upool_200921_2	U450_200912_4	U429_200912_2	U433_200912_18	U425_200912_7	Upool_200912_6	U443_200912_5	Upool_200912_12	Upool_201216_1	U452_200912_16	U422_200912_3	Upool_200912_17	U458_200912_10	Upool_201216_201216215309_2	U108_set8_201216_3	U530_set8_201216_4	U85_set8_201216_5	U155_set4_200930_10	U177_set4_200930_11	U220_set4_200930_21	U317_set5_201121_9	U452_set3_200926_20	Upool_200929_1	Upool_200925_10	Upool_200929_200930064751_2	U5_set8_201216_7	U433_set3_200926_21	U442_set3_200926_17	U405_set3_200925_7	U384_set2_200925_4	U319_set2_200925_3	U328_set5_201121_10	U432_set3_200925_6	U209_set4_200930_20	U39_set8_201216_8	Upool_200930_201004194741_27	U436_set3_200925_8	U414_set3_200926_18	U424_set3_200926_19	U118_set8_201216_9	U62_set8_201216_11	U278_set5_201121_14	Upool_201125_1	U419_set6_201125_5	U287_set5_201121_16	U407_set6_201125_4	Upool_201125_201127093210_2	U311_set5_201121_21	U335_set6_201125_15	U329_set8_201216_10	U298_set5_201121_19	U438_set6_201125_6	Upool_201121_201127004651_26	U417_set6_201125_19	U332_set6_201125_16	U280_set5_201121_13	Upool_201125_201130085139_20	U388_set6_201125_10	U75_set8_201216_11	U353_set6_201125_9	U296_set5_201121_24	U381_set6_201125_7	U347_set6_201125_14	U139_set8_201216_12	U69_set8_201216_13	U527_set8_201216_14	U494_set8_201216_15	UpoolS1_200807_08	U351_set6_201125_22	U146_200807_06	U11_200805_02	UpoolS1_200805_10	UpoolS12_200827_01	U275_set2_200925_2	U70_200805_13	U14_200807_04	Upool_200827_swtch_07	U493_200807_02	U428_set6_201125_21	U383_set6_201125_12	nFragment	nPeptide
A0A075B6H7	143923	244294	95556	246738	106649	132592	51304.5	158619	148864	149786	144249	166171	166197	99081.5	173853	156728	135986	117403	155276	194752	124746	138398	127505	119182	360261	180260	78930.2	245072	122825	135923	210370	114505	167528	187474	201810	150307	158728	129665	82413.2	176173	88747.5	183406	99946.4	107741	158597	248248	137962	182769	103060	178745	163546	169530	143688	261174	124592	240272	224461	99711.3	171663	55594.9	75359.7	77597.7	19492.8	19492.8	19492.8	19492.8	139752	19492.8	50627.9	19492.8	19492.8	171517	173499	97828.5	177058	149260	116383	165266	215210	132563	152224	153468	173552	112808	111568	114388	115820	115055	178665	115441	347030	163229	167761	149678	248597	152148	89792.2	99314.3	102284	105249	286736	145087	241485	160746	77203.2	193527	218982	175492	79106.5	127048	269502	87605.9	141015	118072	133295	182330	204983	160302	49435.4	88446.9	205221	197971	181386	48801.9	84314.9	99637.7	201070	120459	138469	183003	319507	87331.1	87396.8	169148	57425.1	117290	87197	247275	80125.6	145463	146335	189747	179916	137144	111285	158806	200828	209769	133593	157252	133664	138243	138570	144985	260765	154466	115536	82033.7	96475.6	39269.7	145819	128301	171979	146442	228984	158497	140722	156759	128148	144054	150305	200663	84647.3	127095	145552	92707.1	70062.4	140384	216126	121141	67009.1	149090	117018	285772	143881	230574	183063	154919	164503	135525	136907	145353	106822	160868	152571	200997	152662	140950	78948.9	168278	120334	120127	272013	119980	199773	51489.4	160749	330855	130474	209440	84254.5	180270	165161	132985	206088	15	3
A0A075B6H9	203855	159304	120948	303259	133303	72227.2	74360.5	243615	137017	137364	107695	210465	219662	176092	206113	202126	89469.1	172551	87685.9	126191	295530	253625	200141	127075	101196	243023	77431.7	175068	156893	195219	193415	188337	156222	193553	177427	94474.8	307243	167017	280829	355399	122300	81244.5	121140	169809	177486	110294	89569.6	48440.6	126594	113976	121747	100073	1.48374e+006	120613	117655	229385	74138.9	134810	88537.5	23593.1	139335	204683	392059	190194	222573	46546.4	228611	221917	149253	128726	365697	158570	144459	223281	144977	237467	68650.6	125717	92216.5	228496	141350	137231	112267	207267	180399	195073	134358	162812	212485	139073	173296	174384	245688	79429.1	155107	85631.9	222770	203919	198125	141385	82264	139259	169671	152547	148103	161458	160172	171705	219166	172448	262647	65150.9	166198	96801.3	186672	249795	96949.7	127124	101840	123044	142593	199086	238563	158625	248772	202137	60485.9	161549	60278.9	65650.9	218126	181144	116392	216628	201519	130940	189253	174829	184779	136837	145030	155907	157206	147836	92854	186454	172595	261021	144314	137104	149524	156067	262536	144924	332548	129520	146087	96283	142495	36011.4	152552	220990	194735	230202	257407	78829.9	210886	156928	132140	122572	247570	247511	66590.4	2751.73	137696	208494	114861	141704	337721	152838	86865.9	222906	70615.9	147229	138614	105139	297469	181583	184285	114569	106971	153271	112499	147101	244552	249093	175894	90352.7	135486	186772	165214	215867	212956	58975.7	159194	94481.4	106362	129354	211285	147164	246267	188680	197297	4690.68	169971	5	1
A0A075B6I0	118512	174233	75607.4	179690	35763.3	16420.7	94458.6	121829	5887.38	107613	65058.9	190100	146336	47355	155813	85929.3	126187	78115.7	58613.3	150015	111238	105356	99253.2	63304.1	74143.8	141680	123024	92542.5	91631.6	93586.4	89197.7	19875.1	70100.1	107242	93354.1	161932	180060	92991.2	177615	111220	118469	94980.2	76399.2	72021	78401.5	166968	5887.38	74527.3	38550.7	87682	84007.4	87392.9	72906.8	85129.4	72015.3	118993	60078	94209	225266	15087.6	12349.5	81586.4	49572	105169	147622	81801.4	133933	105019	149338	98961.5	132645	107050	127390	115474	132253	131303	48478.3	21354.6	59495.2	154398	117146	114960	50599.9	139785	43694.7	103148	104011	99051.2	51776.2	84041.1	118673	183109	115076	99964.6	97810	79354.2	110293	111669	118073	79618.2	164090	66482.3	154476	41146.1	263469	46758.9	79467.5	85933.2	153332	84546.8	238837	66195.4	171462	100852	257573	65102.6	28063.7	131747	57515.6	78137.4	51479.3	248080	104169	151521	126774	112499	116813	104720	60716.3	96752.3	111792	78031.5	79985.9	148603	88394.5	226711	87115.9	124797	41553.3	126965	7461.74	124346	86323	92875.1	135230	143397	123659	116907	83291.9	88002.6	110240	110011	112883	126741	167493	102392	57710.8	183296	54229.9	36218.4	136788	83388.1	261152	64325.4	106906	132241	106568	76222.5	53629.2	136938	118189	158306	46952.4	81601.7	142891	116844	117062	5887.38	176841	19538.7	79794.1	79531.1	216008	137481	119806	83605	107123	142029	65175.3	60514.6	125043	66763	211150	121104	72690.5	44124.5	109277	195769	112608	113445	88205.1	68518.1	213784	71171.1	115754	139037	124841	88667.7	210730	45955.5	44300.5	48266.7	128500	146915	66379.1	15	3
A0A075B6I1	2843.34	2843.34	2843.34	2843.34	2843.34	2843.34	2843.34	2843.34	2843.34	2843.34	2843.34	2843.34	2843.34	2843.34	2843.34	2843.34	2843.34	2843.34	2843.34	2843.34	2843.34	41598.5	45125.6	40409.4	2843.34	24777.9	2843.34	34515	44944.5	33191.7	33417.5	72247.9	48437.6	41581	34428.4	64620.2	18933.1	35413.4	88245	120786	15861.5	48446.7	19273.2	28229.8	21073	56110.8	16522.5	30391.8	13782.8	23803.7	31727.9	49379.2	241680	12690	2843.34	36606.7	2843.34	30104.1	6205.96	17885.2	42582.9	37393.1	86071.6	38008.1	71834.2	2843.34	2843.34	28311.8	2843.34	27324.3	2843.34	67108.7	9922.78	34286.3	9256.79	79003.3	41170	28223.7	81668.4	19409.2	72204.2	70747.5	2843.34	17384.8	27046.4	36416.2	48673	30903.3	69839	26735.3	57490.7	12452.6	2843.34	2843.34	18526.8	45304.7	55247	56971.9	56141.3	80479.2	9101.14	85238.4	38343.8	11358.6	11343.1	46436.5	45402.2	6742.05	246167	76690.1	30650.8	7605.03	31219	39698.7	87149.4	89817.5	21720.9	33411	25142.5	63013.2	46595.9	9292.14	60219	31438	48902	54625.8	2843.34	26911.2	13747.5	2843.34	2843.34	52299.5	17787.5	44369.6	27698.5	31267.8	40664.9	52378.3	35016.2	115005	93947	20779	13757.3	37246.9	46132.2	15470.3	68919.2	23302.2	58301.4	23751.2	36825.8	42722.3	79916.5	27618.1	57538.9	39228.6	46093.4	27845.2	23897.4	5974.35	65942.9	8922.91	45672.8	66060.7	114114	2843.34	25905	72231.6	59347.8	34421.2	48971.1	9751.76	2843.34	11412.5	63594.4	42271.1	34697.4	51768.3	72854.8	9765.36	3315.57	18539.6	85194.7	45463.6	27933.2	37479.8	130730	37499.1	34677	18274.9	2843.34	85518.3	6896.87	29434.8	39254.1	2843.34	32610.6	31744.8	44864.6	55926.9	39699.2	72071	2843.34	9901.31	29157.4	2843.34	36517.7	30040.7	46967.1	37827.7	55370.7	28744.2	2843.34	63070.5	59914.7	5	1
A0A075B6J9	39717.4	52208.4	47437.8	81777.1	22204.9	44266.8	70100	44561.2	32730.5	46853.6	96306.9	80254.6	62353	17035.4	92151.6	57114	17934.6	13835.2	84096.4	41322.4	58786.7	43177	42744.9	39119.7	71560.2	37197.2	39568.4	56271.7	42542	42688.7	53350.3	4369.96	35118.2	82285.6	48959.4	67301.2	48505.9	26055.9	39696	80764.2	57284.4	13546.7	72414.4	43202.5	141771	54875.9	37928.8	26219.6	50597.9	46435	45314.5	43515.5	60022.7	73273.3	7867.19	49983.9	60867.8	38987.8	33715.8	42822.4	68527.5	27677.4	30278.5	31480.2	78106.1	47703.7	19283.2	36317.7	105641	69966	71970.1	47524	48164.3	43549	47544.3	54765.1	20281.5	32670.6	55202.9	80188.5	52247.1	51247.5	24556.5	59649.5	53697.4	42297.5	44537.7	45245	48701	34165	90348.2	66714.4	56831.6	33913.4	27060.5	91136.8	32291.8	63640.9	63308.7	25670.2	88408.5	14879.9	91669.3	15191.7	42795.8	26028.6	110949	6562.86	105189	69536	47502.9	22294	46035.1	71522.2	44886.9	15360.1	38673.5	46072.4	40134.4	29347.6	72075.1	91548.6	50240.2	52722.4	30220	30334.3	81419.7	64878.8	3158.47	115963	63017.2	121682	13719.5	20301.6	30215.5	65159.3	43509.3	63920.9	68974.2	82557.9	8821.33	61961.8	26991	41019.8	35407.2	70118.1	49153.4	73699.8	37926.1	39270.8	44342.5	39406.8	6927.03	76853.6	37399.6	87751.9	39090.2	77081.5	60469.2	7054.53	45695	62088.4	11390.5	39286.2	65073.3	32604.4	47313.7	84103.9	60177	42931.3	48984.4	69765.6	17698.9	41982.3	51316.4	47514.8	85125.4	47704.5	61064.6	13182.4	17923	19155.1	69802.3	152063	44417.5	52801.4	75527.6	56977.4	28820.8	22225	50091	52438.2	56847.4	41504.9	9721.16	41607	104729	56769.1	34701.8	41616.8	46332.5	45393.4	66004.5	3630.04	83699.2	39616.2	46997.4	112406	80475.5	4159.72	56165.2	4421.73	45603.4	72482.3	90969.3	5	1
A0A075B6K4	312862	159030	182737	284439	189633	420284	230759	232434	260564	323371	190367	267951	257083	274099	305050	172639	138186	428041	280756	236766	244666	290933	336758	16519.9	67798.2	14614.2	247026	291629	356000	360653	249829	258835	229919	311971	243285	214140	338298	437107	460898	242380	222539	232354	142304	273426	18497.4	290606	162667	196871	175245	234910	170248	199000	59123.9	162269	173086	228792	283618	260538	184955	122089	116944	479235	485385	378573	234950	233500	525587	356930	259066	144170	249312	223320	222662	160218	215161	463967	216718	225188	175289	349918	210781	202812	250055	223518	399684	348722	294880	309333	423658	356291	196195	188588	213934	200936	494936	205309	266518	321918	380461	223082	185182	327914	317114	262598	429840	206964	26032.2	118023	343676	355780	69781.2	273907	265532	186497	345096	162260	247316	220920	289689	365291	215636	340080	357699	231001	330621	282655	341936	162635	82860.5	391256	319577	445169	247688	256327	450447	112107	339040	272699	212133	125325	122958	193383	163785	435137	363667	452767	328285	269474	315888	269197	296750	279981	139640	336504	354682	246855	247126	474640	185097	24637.4	238961	208493	433836	212327	331893	142842	168652	171723	354684	265881	496188	403045	259532	269945	201429	244363	371333	182767	225343	312957	191252	270198	226075	447038	240944	620511	484764	153053	425646	154010	21876.6	171925	25298.7	332088	278570	256494	385748	231746	256187	248942	234403	236224	313925	55519.1	246657	301914	326499	245900	176078	226539	393400	260139	286676	210398	372686	14	3
A0A075B6K5	378307	340054	366146	376862	258220	435180	257054	406384	488180	368855	455612	215088	295580	348307	430962	225888	259976	580037	887104	279155	383005	409732	393279	266196	304676	378962	415978	369939	371526	354831	348611	355812	295200	586031	373786	272961	842361	389878	324389	163688	200899	354907	207923	541779	556294	392290	322558	528921	566628	360779	353660	410132	213981	390554	359215	600754	268174	363572	380454	137745	188442	402041	261626	373490	295086	495484	631795	314904	1.0159e+006	390432	272226	328642	308645	329823	309671	434010	640898	679474	226227	280704	399967	399091	211528	200590	279049	409773	491271	433553	356772	411809	320108	312489	262827	424702	639549	499669	415684	391520	388294	334062	398316	279781	431071	325376	437600	503743	354780	391846	240417	302779	83531.3	647897	291417	363318	360494	367127	465053	391223	164162	320824	422282	558798	332889	407009	463549	439331	209235	330465	215927	426583	791257	291343	144110	615761	324707	370643	560626	435230	267633	285604	447280	440992	544994	318427	290336	367096	438804	429238	319329	319709	368798	353419	218651	674545	705920	311455	296300	477611	173768	63883.6	351640	252480	605341	346410	350222	380843	377484	356418	321931	332753	606389	498843	350185	260799	345810	341499	417872	394264	335186	376410	185000	417530	403581	921390	345748	418675	483100	286828	297444	302916	455379	318251	325837	397401	360776	331657	240815	505748	402451	390705	322631	306360	528482	433985	611762	302175	316637	291202	241487	524677	341670	387395	450744	350253	330344	14	3
A0A075B6P5;P01615	53937.8	73266.8	16084.8	30675	668691	25038.1	27252.4	84611.2	31821.4	32619.7	25089.1	443082	709371	18224.6	74684.4	118201	727140	33666.8	63477.2	792849	56853.8	238683	191338	176668	112816	242277	202433	192096	217942	204377	202593	166103	176848	153499	239131	241869	307916	297546	194504	329033	83905.5	135334	148001	165888	155740	202478	86005.7	166221	106783	121682	161182	107633	396076	169631	106493	160928	191040	124966	156917	95880	153353	225149	258378	212315	295893	39835.7	202015	214776	314703	123334	244369	196263	223286	197486	228537	133113	117354	141811	201393	182894	183687	182065	146390	215978	217799	227175	157068	174189	169780	188804	163795	327056	87343.5	138251	18948.8	270446	190053	174231	168626	178521	136909	239381	300354	151751	87851.3	173234	264750	290545	309551	191165	170409	81563.9	215296	189233	113853	239197	158591	177472	124765	98338.5	187456	230246	272443	163104	236143	277388	135833	94761.9	82987.8	205350	234056	166598	23978.1	196476	165282	237836	210827	221162	176967	182378	185370	194203	193327	167462	178318	246750	241194	155738	176306	184608	182440	156273	170746	206068	261250	139674	204886	212548	102096	35208.2	212203	211872	231216	127924	206158	125204	176667	158222	218435	151351	183873	162804	209267	198002	167583	240713	119661	180523	163143	120290	103927	341900	135458	257072	144710	275016	254527	152742	179438	181375	184828	217363	114846	144985	216611	260171	177235	129675	155651	199915	285747	200325	95592	43998.3	148289	132033	446288	329054	168033	198415	267130	193313	173939	152923	131690	14	3
A0A075B6R2	127764	132829	117612	278339	71237.4	151774	102444	141910	101743	140855	140007	121316	148401	189817	96366.1	147709	169260	135616	193704	82367	134463	221599	181036	130102	51015.4	243050	156646	125768	151443	147508	131570	75494.3	114105	176532	135926	103963	203145	115391	162888	124453	200819	114907	97677.4	121334	120321	193095	25171.7	32832.7	12530.1	129293	172790	262900	34951.2	56698.5	49270.8	274537	23539.8	229686	435454	198667	13622.6	167213	139556	161406	167157	272330	118986	104824	72950.8	70001.9	220217	218618	272142	60969.4	284582	65193.7	55870.9	8279.72	24518.9	104478	145197	138034	118687	217285	98186	196446	179566	163395	108142	234369	113597	157691	75239.5	123030	143395	159553	131692	137170	127570	104749	217229	79952.8	196516	160078	110029	277366	81330.4	136389	113063	29397.4	175319	259881	257899	27340.7	266082	118113	219609	125069	123733	97013.6	12230.9	208868	112223	170947	150515	191580	207199	67813.6	121953	336758	28544.4	323325	59832.1	120936	149493	65139.7	19653.1	188326	74686.2	211905	91283.7	407178	39110.8	100866	170746	205368	262619	10424.7	76877.1	113364	208125	181397	8961.51	267249	78953.7	37383.5	178689	87504.5	69207.2	13054.4	206430	267094	189659	213966	205164	110358	110896	179041	62596.1	150957	248390	198750	91825.5	26490	125154	115162	218288	167993	179597	101202	106669	84709	153625	156316	137255	363418	309697	108880	290666	14047.2	204484	173673	29076.3	140714	122787	20167.1	14451.6	334002	249762	43508.1	43277.6	42884.3	43044.5	55855.7	30129	126935	164316	29866.4	132465	146662	290586	161172	270296	303084	325637	9	2
A0A075B6R9;A0A0C4DH68	210389	218966	172979	211780	229182	194224	149514	438121	129511	214989	56630.2	269800	430032	87030.4	259123	130539	312859	205241	265826	133361	195826	227725	228451	140009	102681	226696	165153	261618	217112	212083	248153	271199	189199	234178	248239	197386	288368	406226	157689	293455	178269	94041.3	80069.1	173145	314425	385716	74441.1	72098.8	122690	236317	221802	268729	211948	190382	286620	127337	369703	269345	103202	113634	151632	365333	242716	290719	172822	217843	94586.5	270420	175572	189531	200204	292158	303090	211093	321925	231403	40035.6	83551.8	180639	437934	131713	128984	142508	193174	157974	248371	227408	211704	249860	91438.9	216173	313723	162286	150229	152449	152674	214978	165959	167856	108399	307349	96453.6	328516	299582	65579.4	545498	449574	126275	378032	181855	116028	166348	211678	204082	186970	149354	171541	251071	152388	177980	256560	187081	214434	230234	228189	242726	242731	139924	101531	305621	177308	291119	95212.7	269167	229171	248200	191659	378193	155029	239082	154740	195644	101192	239310	260156	241589	292742	116171	220989	224943	183700	162437	205173	410136	400382	124634	134630	120265	477890	20864.5	167728	214637	1.21778e+006	182471	224890	116498	102192	121501	210280	219889	155914	721316	124435	124121	230912	202282	287091	187021	324000	101797	38929.4	347386	55675.9	556042	216549	120777	221917	287913	179865	114708	136706	121208	597699	206135	131325	443493	194458	217916	187567	190082	250956	202673	312478	70097.2	140488	150592	371807	462897	170356	154791	123239	427141	214782	234680	391536	15	3
A0A075B6S2;A2NJV5	1.9768e+006	1.9863e+006	2.08628e+006	2.87042e+006	2.91449e+006	1.47095e+006	1.38344e+006	3.17368e+006	1.26205e+006	2.25074e+006	1.5578e+006	2.93982e+006	2.08253e+006	1.2315e+006	1.66973e+006	2.18077e+006	2.56511e+006	2.39561e+006	3.10211e+006	1.22581e+006	2.15534e+006	2.38615e+006	2.33836e+006	1.43974e+006	1.29708e+006	2.71295e+006	2.40984e+006	2.43102e+006	2.77288e+006	2.88905e+006	2.64138e+006	1.3729e+006	1.45038e+006	1.33354e+006	2.91112e+006	2.33136e+006	2.62561e+006	2.69954e+006	1.59033e+006	2.72875e+006	1.11349e+006	1.6207e+006	1.5104e+006	2.35492e+006	1.94853e+006	3.08148e+006	2.32914e+006	1.81281e+006	1.75029e+006	2.38835e+006	2.23298e+006	2.33696e+006	1.14076e+006	2.3698e+006	1.24781e+006	2.27912e+006	3.0583e+006	1.55001e+006	2.18512e+006	2.20813e+006	1.66588e+006	2.10782e+006	1.4854e+006	1.82259e+006	1.73453e+006	2.70077e+006	1.88995e+006	1.59416e+006	2.4271e+006	2.48175e+006	1.57156e+006	2.56918e+006	2.81095e+006	2.03937e+006	2.96221e+006	3.01975e+006	1.22501e+006	1.05664e+006	2.05671e+006	2.03185e+006	1.79333e+006	1.77653e+006	1.61227e+006	1.37706e+006	1.75241e+006	2.27964e+006	2.58586e+006	2.73144e+006	2.17953e+006	2.55695e+006	2.38153e+006	1.88185e+006	1.88356e+006	1.50358e+006	2.33993e+006	1.93861e+006	2.03543e+006	2.08594e+006	1.82669e+006	1.94724e+006	2.76936e+006	1.77375e+006	3.07313e+006	1.46004e+006	1.43037e+006	1.92847e+006	2.02477e+006	2.58495e+006	3.3239e+006	1.85501e+006	2.47805e+006	1.05999e+006	2.28021e+006	3.31793e+006	1.49963e+006	2.48735e+006	2.11901e+006	1.9703e+006	1.1234e+006	1.28157e+006	2.17614e+006	2.60329e+006	2.32443e+006	2.17607e+006	2.06665e+006	2.27677e+006	2.8085e+006	1.23894e+006	946925	3.37123e+006	3.1064e+006	1.77588e+006	1.18577e+006	2.48027e+006	2.02991e+006	2.22755e+006	2.03425e+006	2.68656e+006	2.44395e+006	1.80409e+006	1.80184e+006	2.52234e+006	1.34969e+006	2.02277e+006	1.605e+006	2.5877e+006	2.69468e+006	1.54701e+006	2.10818e+006	2.19587e+006	1.98808e+006	1.78986e+006	1.9429e+006	2.18356e+006	2.94528e+006	2.34945e+006	1.78609e+006	2.45057e+006	1.39815e+006	331836	2.01258e+006	2.03136e+006	2.43689e+006	1.9542e+006	1.9913e+006	1.35048e+006	2.03623e+006	2.24389e+006	2.16841e+006	2.1905e+006	1.89507e+006	3.16428e+006	303259	1.63902e+006	2.00221e+006	2.20865e+006	2.02456e+006	2.96027e+006	1.7689e+006	1.36619e+006	1.19585e+006	2.33517e+006	1.97698e+006	2.9582e+006	1.97349e+006	2.22281e+006	3.56976e+006	2.24962e+006	1.57884e+006	1.52448e+006	1.80278e+006	1.53363e+006	2.14117e+006	1.97337e+006	2.35776e+006	2.31082e+006	2.44997e+006	1.78076e+006	1.8814e+006	1.95905e+006	2.27288e+006	2.12243e+006	2.82434e+006	807194	1.59468e+006	1.80545e+006	4.04186e+006	3.62527e+006	1.68288e+006	1.65722e+006	2.54016e+006	2.09101e+006	1.86197e+006	1.88766e+006	2.07492e+006	17	4
A0A075B6S5	55844.8	28562.2	30466.8	39956.1	19794.5	61961	34341.8	68314.8	59327.7	59582	56158.4	39370.8	4184.04	23234.8	30823.7	33587.4	24644.6	69756.7	101416	48012.3	24061.5	36076.6	35262.5	37084.4	7746.03	25727.4	21798.4	49843.8	45353.9	43060.6	37052.9	89033.5	7874.78	30835.6	40989.3	36256.3	46403.6	88835.3	75391.9	32033.5	22330	18477	12865.2	34514.8	30499.6	39256.1	13197.1	11890.7	14301.2	52710	49740.4	46510.2	32553.7	2639.31	50046.6	51601.8	51318.7	34497.9	35648	4334.09	2639.31	48559.7	37022.1	47842.1	24150.6	11050.2	39052.5	44749.4	13638.3	22886.6	3977.22	19666.8	40904.9	29959.9	41260.7	39476.5	12041.8	5917.97	15219.7	17182.4	27574	26808	18382.2	44263.9	37023.8	33756.2	31371.4	37032.5	45099	49632.3	85474.4	36593.7	21493.5	32003.3	71180.2	37045.2	28375.8	24963.3	28443.4	22735.3	57204.3	21839.3	57636.4	54148.5	54693.9	68857.5	43180.6	65817.1	49219	32379.7	25374	24304.8	45083.3	50162.8	56339.1	58182	52651.3	11407.9	42592.9	17814.9	44557.9	36352.5	37526	27622.9	68700.6	39864.6	36930.3	21194.2	28022.8	70452.9	58842.9	37311.4	42812	35937.1	59170.3	26003.5	37380.5	86079.3	28625.4	45312.9	27673.5	41789.4	20458.1	39473	51384.7	56092.4	55495	10401.4	41313.2	41687.8	35818.6	33245.4	29475.5	58316.8	121309	73692.7	27595.1	58233.5	29760.7	8959.58	56148.5	43165.3	47475.2	20483.7	91754.8	31928.1	30415.9	24334.4	28178.7	78779.8	46811.7	63894.3	46249.3	31163.4	44683.1	36322.9	56967.8	31040	61729.6	41407.2	19639.2	47641	35320.6	66568.2	31845	38464.3	61856.9	47619.7	47532.3	25263.2	33479	36967.5	46432.9	35860.5	27466.7	78076.3	46947.1	15938	34503.4	33991.5	38367.2	44499	72417.3	18753.2	31467.5	33899	53947.9	61174.1	39709.6	34355.2	40542.8	43850	53845.8	34014.1	59724.5	10	2
A0A075B6S9;P0DSN7	19553.4	21857.1	7656.35	25054	16174.2	43420.8	29857.7	40242.9	11684.5	21225.9	13401.6	26210.9	23837.6	8422.5	24952.5	13238.8	10576.2	20953.3	84184.8	29068.1	22594.9	12429.7	883.13	883.13	29027.6	29408.1	31245.9	44550	11023	8078.16	10042.5	48934.6	26181.4	31779.1	10709.8	17352.8	30524.1	18776.8	19735.4	24313.4	8371.15	883.13	38716	41489.8	38403.2	11011.3	11683.6	12633.8	42500	38818.8	883.13	883.13	7803.09	17858.4	58457	51673.9	21622.3	2486.05	55751.3	883.13	8191.88	32286.6	905.55	28684.3	29672.8	49605.4	37032.5	17955.6	34191.8	29535.2	952.63	16389.4	16533.2	14679.4	15745.1	24903.8	28160.5	20069.9	24057.3	35654.3	21276.3	21158.4	35429.1	8911.69	13346.3	24858	24291.8	29272.4	11544.3	39030.4	20983	17211	19304.7	25448.8	16135.8	32099.5	20007.4	12192.6	12883.7	40255.8	26242.1	56197.5	27954.7	53840.1	12604.4	16930	20212.2	14852.4	10166	19690.1	22643.7	7198.63	62198	28629.3	8409.68	74524.6	23899.3	22270.2	9934.07	17243.6	81353.6	2936.38	22448.9	37818.8	27628.7	24985.6	17540.3	14925.9	9009.26	883.13	36253.7	18604.8	21937.7	29756.2	22723.4	12379.5	129202	25547.8	14979.6	5689.56	26772.2	22913.4	14045.8	26011.8	954.195	36036.8	28784.1	13829.1	24357.2	23955.8	28125.1	29882.9	22409.8	34656	14320	46458	10593.4	36508.7	6117.01	1364.58	30383.7	16920.1	23861.2	11927.4	20679.3	21527.2	18754.4	36686.7	11007.1	31413.5	36215.9	22143.3	32287.1	26293.7	18022.7	19891.4	26255.4	16613.7	20634.3	24695	14296.9	48519.2	13350	25673.8	22894.3	10996.9	22964.5	15260.9	32083.8	16019.7	20254.7	17679.5	9899.67	21344.4	42460.5	47001.3	24835.3	14913.5	17034.8	18494.3	27988.1	31645.1	17701.6	7891.62	19741.5	16350.1	14917	36052	28197	28114.9	20424.4	23563.9	22734.1	11628.1	22944.1	5	1
